property_url,full_street_line,neighborhoods,last_sold_date,sold_price,estimated_value,monthly_appreciation,monthly_appreciation_rate,yearly_appreciation,yearly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/415-Moyer-Ln-NW_Salem_OR_97304_M15942-22273,415 Moyer Ln NW,West Salem,2024-12-27,30000,366000.0,61245,204.15,734935,2449.7833333333333 fake - sold for 425 in 2020 now no price
https://www.realtor.com/realestateandhomes-detail/3975-Lone-Oak-Rd-SE_Salem_OR_97302_M29297-54687,3975 Lone Oak Rd SE,Faye Wright,2024-12-17,165000,404000.0,41103,24.91090909090909,493231,298.9278787878788 fake as sold in 2014
https://www.realtor.com/realestateandhomes-detail/785-17th-St-NE_Salem_OR_97301_M27964-65783,785 17th St NE,Northeast Neighbors,2024-08-05,79900,279300.0,19517,24.426783479349186,234202,293.1188986232791 real but something off 
https://www.realtor.com/realestateandhomes-detail/921-Waikiki-St-SE_Salem_OR_97317_M18698-62645,921 Waikiki St SE,Southeast Mill Creek,2024-10-02,119000,353500.0,28214,23.70924369747899,338570,284.5126050420168 fake (but only as of a few months)
https://www.realtor.com/realestateandhomes-detail/1364-Sundance-St-NW_Salem_OR_97304_M21892-61211,1364 Sundance St NW,West Salem,2024-04-24,130000,538600.0,30043,23.11,360515,277.3192307692307 fake as is undeveloped
https://www.realtor.com/realestateandhomes-detail/476-McKinley-St-SE_Salem_OR_97302_M11644-29725,476 McKinley St SE,Faye Wright,2024-12-17,250000,531233.0,48366,19.3464,580389,232.15560000000002 fake only bc sold in 2018
https://www.realtor.com/realestateandhomes-detail/1610-Lee-St-SE_Salem_OR_97302_M26815-74883,1610 Lee St SE,Southeast Salem,2024-05-29,90142,290000.0,16052,17.80745934192718,192623,213.68840274233983 fake only bc sold in 2011
https://www.realtor.com/realestateandhomes-detail/1175-Chelsea-Ave-NW_Salem_OR_97304_M28248-49897,1175 Chelsea Ave NW,West Salem,2024-11-26,283722,564000.0,43089,15.187049294732166,517070,182.24529645216091 fake
https://www.realtor.com/realestateandhomes-detail/2011-Myrtle-Ave-NE_Salem_OR_97301_M15840-44238,2011 Myrtle Ave NE,Highland,2024-09-19,145000,329200.0,21079,14.537241379310345,252950,174.44827586206898
https://www.realtor.com/realestateandhomes-detail/2195-Vaughn-Ave-NE_Salem_OR_97305_M16203-52639,2195 Vaughn Ave NE,North Lancaster,2024-10-07,209000,428000.0,26880,12.861244019138757,322566,154.3377990430622
https://www.realtor.com/realestateandhomes-detail/531-Gerth-Ave-NW_Salem_OR_97304_M14456-45863,531 Gerth Ave NW,West Salem,2024-04-11,139000,358100.0,15619,11.236690647482014,187431,134.84244604316547
