property_url,full_street_line,unit,estimated_value,assessed_value,sold_price,last_sold_date,months_since_sale,sqft,beds,baths,neighborhoods,list_date,tax,lot_sqft,new_construction,stories,monthly_appreciation,monthly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/4573-Dahlia-Way-NW_Salem_OR_97304_M15728-13919,4573 Dahlia Way NW,,,,,2024-05-13,14.2,2246.6,3.0,4.5,Unknown,2024-10-16 23:03:51.744471744,,9294.5,False,2.0,,
https://www.realtor.com/realestateandhomes-detail/415-Moyer-Ln-NW_Salem_OR_97304_M15942-22273,415 Moyer Ln NW,,,34410.0,,2024-12-27,6.7,1676.9,3.1,2.3,West Salem,2025-06-01 23:03:51.744471744,648.0,5996.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/855-Windgate-St-S_Salem_OR_97302_M29899-76451,855 Windgate St S,,387500.0,2630.0,,2024-10-04,9.5,1676.9,3.1,2.3,"South Salem, Southwest Salem",2025-03-09 23:03:51.744471744,51.0,280.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/4990-Auburn-Rd-NE_Salem_OR_97301_M13794-54792,4990 Auburn Rd NE,,835202.0,175790.0,,2021-12-30,42.6,2914.0,4.0,4.0,Unknown,2022-06-04 23:03:51.744471744,2680.0,12055.5,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/4995-Sunnyside-Rd-SE-Unit-11_Salem_OR_97302_M98688-55473,4995 Sunnyside Rd SE Unit W11,Unit W11,429000.0,202645.2,,2024-07-12,12.2,1296.0,3.0,1.8,Faye Wright,2024-06-20 00:00:00.000000000,3624.4,5361.7,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/4170-Deepwood-Ln-NW_Salem_OR_97304_M29070-32673,4170 Deepwood Ln NW,,581100.0,253000.0,100000.0,2024-11-12,8.2,1884.0,4.0,2.6,Unknown,2025-04-17 23:03:51.744471744,2869.0,7794.3,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/4375-Durbin-Ave-SE_Salem_OR_97317_M23762-33340,4375 Durbin Ave SE,,336996.0,119020.0,38869.0,2024-06-05,13.4,1080.0,3.0,1.5,Unknown,2024-11-08 23:03:51.744471744,2036.0,12197.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/1852-Cousteau-Loop-SE_Salem_OR_97302_M28889-51629,1852 Cousteau Loop SE,,698000.0,65940.0,94500.0,2024-03-22,15.9,1676.9,3.1,2.3,Morningside,2025-06-08 00:00:00.000000000,1294.0,3049.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/2542-Kitsap-St-NW_Salem_OR_97304_M91875-45851,2542 Kitsap St NW,,734553.0,378930.0,80000.0,2023-07-20,24.0,2761.0,4.0,3.7,West Salem,2023-12-23 23:03:51.744471744,7140.0,11422.5,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/5678-Battle-Creek-Rd-SE_Salem_OR_97306_M13786-57108,5678 Battle Creek Rd SE,,410100.0,220940.0,74000.0,2024-06-06,13.4,1144.0,2.0,1.5,South Gateway,2024-11-09 23:03:51.744471744,4338.0,4732.8,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/2152-Equestrian-Loop-S-S_Salem_OR_97302_M99479-90770,2152 Equestrian Loop S # S,# S,,260120.0,499000.0,2024-10-31,8.6,1594.0,3.0,2.2,"Southwest Salem, Croisan-Illahe",2025-04-05 23:03:51.744471744,5107.0,6594.5,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/2090-Berry-St-SE_Salem_OR_97302_M11397-11033,2090 Berry St SE,,400521.0,175380.0,60000.0,2024-02-02,17.5,2066.0,5.0,2.8,South Central,2024-07-07 23:03:51.744471744,3443.0,5000.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/2635A-Gilbert-St-S_Salem_OR_97302_M93223-93922,2635-A Gilbert St S,,630000.0,297590.9,125000.0,2024-05-31,13.6,2345.0,4.0,2.5,"Southwest Salem, South Salem",2024-06-06 00:00:00.000000000,5322.5,6534.0,True,1.4,,
https://www.realtor.com/realestateandhomes-detail/1844-Cousteau-Loop-SE_Salem_OR_97302_M28889-14363,1844 Cousteau Loop SE,,527100.0,65940.0,90000.0,2024-02-23,16.8,1676.9,3.1,2.3,Morningside,2024-04-30 00:00:00.000000000,1294.0,3049.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/8923-Umatilla-St-NE_Salem_OR_97305_M90615-65634,8923 Umatilla St NE,,395900.0,187009.9,100000.0,2024-08-29,10.6,1076.0,2.0,1.5,Unknown,2025-02-01 23:03:51.744471744,3344.8,4451.5,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/9010-Pueblo-Ave-NE_Salem_OR_97305_M21113-80070,9010 Pueblo Ave NE,,383600.0,9420.0,86000.0,2024-07-03,12.5,470.0,1.0,0.6,Unknown,2024-06-03 00:00:00.000000000,966.0,7405.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/2232-42nd-Ave-SE-Unit-407_Salem_OR_97317_M21884-50256,2232 42nd Ave SE Unit 407,Unit 407,79800.0,16940.0,,2024-08-12,11.2,784.0,2.0,1.1,Southeast Mill Creek,2023-12-13 00:00:00.000000000,346.0,3243.5,False,1.4,5338.0,
https://www.realtor.com/realestateandhomes-detail/3646-June-Ave-NE_Salem_OR_97305_M91078-29659,3646 June St NE,,417841.0,19780.0,96000.0,2024-06-26,12.7,1676.9,3.1,2.3,Unknown,2024-04-10 00:00:00.000000000,388.0,5227.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/3365-6th-Ave-S_Salem_OR_97302_M27301-95565,3365 6th Ave S,,380800.0,185180.0,110000.0,2024-10-04,9.5,1245.0,3.0,1.5,"South Salem, Southwest Salem",2025-03-09 23:03:51.744471744,3635.0,10050.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/1515-Barnes-Ave-SE_Salem_OR_97306_M10800-59632,1515 Barnes Ave SE,,585900.0,237760.0,55000.0,2022-06-03,37.5,2530.0,3.0,3.4,South Gateway,2022-11-06 23:03:51.744471744,4668.0,10466.9,False,2.0,14151.0,
https://www.realtor.com/realestateandhomes-detail/6402-Macleay-Rd-SE_Salem_OR_97317_M13447-33728,6402 Macleay Rd SE,,200000.0,86470.0,60000.0,2024-09-27,9.7,800.0,1.5,1.1,Unknown,2025-03-02 23:03:51.744471744,1252.0,3309.7,False,1.0,14446.0,
https://www.realtor.com/realestateandhomes-detail/4985-Wagon-Rim-Ct-SE_Salem_OR_97317_M19160-95158,4985 Wagon Rim Ct SE,,379000.0,161410.0,69518.0,2023-12-26,18.8,1180.0,3.0,1.6,Unknown,2024-05-30 23:03:51.744471744,2761.0,7225.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/3346-Sunnyview-Rd-NE-Unit-31_Salem_OR_97301_M21574-21178,3346 Sunnyview Rd NE,,253200.0,25710.0,60000.0,2024-05-31,13.6,1188.0,3.0,1.6,Lansing,2024-05-08 00:00:00.000000000,514.0,4914.9,False,1.4,14205.0,
https://www.realtor.com/realestateandhomes-detail/4762-Lancaster-Dr-NE_Salem_OR_97305_M15156-35340,4762 Lancaster Dr NE,,433000.0,59110.0,112200.0,2024-07-03,12.5,1676.9,3.1,2.3,Unknown,2024-12-06 23:03:51.744471744,1122.0,15700.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/7071-Dunsmere-St-SE_Salem_OR_97317_M14629-35425,7071 Dunsmere St SE,,461900.0,123330.0,126750.0,2024-07-31,11.6,1120.0,2.1,1.5,Unknown,2025-01-03 23:03:51.744471744,1787.0,4633.6,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/3449-Mock-Orange-Ct-S_Salem_OR_97302_M26408-43207,3449 Mock Orange Ct S,,581700.0,317200.0,211678.0,2024-11-26,7.7,2366.0,3.0,2.5,"Southwest Salem, Croisan-Illahe",2025-05-01 23:03:51.744471744,6227.0,12000.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/8626-Wabash-Dr-NE_Salem_OR_97305_M96694-17601,8626 Wabash Dr NE,,,325415.0,500000.0,2024-12-23,6.8,2626.0,4.0,3.6,Unknown,2025-05-28 23:03:51.744471744,4212.0,10864.0,False,1.0,,
