property_url,full_street_line,unit,estimated_value,assessed_value,sold_price,last_sold_date,months_since_sale,sqft,beds,baths,neighborhoods,list_date,tax,lot_sqft,new_construction,stories,monthly_appreciation,monthly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/4573-Dahlia-Way-NW_Salem_OR_97304_M15728-13919,4573 Dahlia Way NW,,2470111.0,1045675.0,24000,2024-05-13,14.19185282522996,6456.0,3.0,4.5,,,12445.0,359370.0,False,2.0,172360,718.1666666666666
https://www.realtor.com/realestateandhomes-detail/415-Moyer-Ln-NW_Salem_OR_97304_M15942-22273,415 Moyer Ln NW,,1100000.0,34410.0,30000,2024-12-27,6.701708278580814,,,,West Salem,,648.0,5996.0,False,,159661,532.2033333333334
https://www.realtor.com/realestateandhomes-detail/855-Windgate-St-S_Salem_OR_97302_M29899-76451,855 Windgate St S,,387500.0,2630.0,10000,2024-10-04,9.461235216819974,,,,"South Salem, Southwest Salem",,51.0,280.0,False,,39900,399.0
https://www.realtor.com/realestateandhomes-detail/4990-Auburn-Rd-NE_Salem_OR_97301_M13794-54792,4990 Auburn Rd NE,,835202.0,175790.0,6000,2021-12-30,42.60840998685939,2914.0,4.0,,,,2680.0,108464.0,False,1.0,19461,324.35
https://www.realtor.com/realestateandhomes-detail/4995-Sunnyside-Rd-SE-Unit-11_Salem_OR_97302_M98688-55473,4995 Sunnyside Rd SE Unit W11,Unit W11,429000.0,,30000,2024-07-12,12.220762155059132,1296.0,3.0,,Faye Wright,2024-06-20,,,False,,32649,108.83
https://www.realtor.com/realestateandhomes-detail/4170-Deepwood-Ln-NW_Salem_OR_97304_M29070-32673,4170 Deepwood Ln NW,,581100.0,253000.0,100000,2024-11-12,8.180026281208935,1884.0,4.0,,,,2869.0,55321.0,False,1.0,58814,58.814
https://www.realtor.com/realestateandhomes-detail/4375-Durbin-Ave-SE_Salem_OR_97317_M23762-33340,4375 Durbin Ave SE,,336996.0,119020.0,38869,2024-06-05,13.436268068331144,1080.0,3.0,,,,2036.0,12197.0,False,1.0,22188,57.0840515577967
https://www.realtor.com/realestateandhomes-detail/1852-Cousteau-Loop-SE_Salem_OR_97302_M28889-51629,1852 Cousteau Loop SE,,698000.0,65940.0,94500,2024-03-22,15.900131406044677,,,,Morningside,2025-06-08,1294.0,3049.0,False,,37956,40.165079365079364
https://www.realtor.com/realestateandhomes-detail/2542-Kitsap-St-NW_Salem_OR_97304_M91875-45851,2542 Kitsap St NW,,734553.0,378930.0,80000,2023-07-20,23.98160315374507,2761.0,4.0,,West Salem,,7140.0,,False,1.0,27294,34.1175
https://www.realtor.com/realestateandhomes-detail/5678-Battle-Creek-Rd-SE_Salem_OR_97306_M13786-57108,5678 Battle Creek Rd SE,,410100.0,220940.0,74000,2024-06-06,13.403416557161629,1144.0,2.0,1.5,South Gateway,,4338.0,37462.0,False,1.0,25076,33.88648648648649
https://www.realtor.com/realestateandhomes-detail/2152-Equestrian-Loop-S-S_Salem_OR_97302_M99479-90770,2152 Equestrian Loop S # S,# S,1929000.0,260120.0,499000,2024-10-31,8.5742444152431,1594.0,3.0,,"Southwest Salem, Croisan-Illahe",,5107.0,,False,,166779,33.42264529058116
https://www.realtor.com/realestateandhomes-detail/2090-Berry-St-SE_Salem_OR_97302_M11397-11033,2090 Berry St SE,,400521.0,175380.0,60000,2024-02-02,17.509855453350852,2066.0,5.0,,South Central,,3443.0,5000.0,False,1.0,19447,32.41166666666667
https://www.realtor.com/realestateandhomes-detail/2635A-Gilbert-St-S_Salem_OR_97302_M93223-93922,2635-A Gilbert St S,,630000.0,,125000,2024-05-31,13.600525624178712,2345.0,4.0,2.5,"Southwest Salem, South Salem",2024-06-06,,6534.0,True,,37131,29.7048
https://www.realtor.com/realestateandhomes-detail/1844-Cousteau-Loop-SE_Salem_OR_97302_M28889-14363,1844 Cousteau Loop SE,,527100.0,65940.0,90000,2024-02-23,16.819973718791065,,,,Morningside,2024-04-30,1294.0,3049.0,False,,25987,28.874444444444446
